,height
855,206.0
856,196.0
857,201.0
858,196.0
859,175.0
860,196.0
861,201.0
862,193.0
863,190.0
864,206.0
865,208.0
866,198.0
867,206.0
868,203.0
869,198.0
870,206.0
871,206.0
872,196.0
873,198.0
874,203.0
875,190.0
876,206.0
877,180.0
878,193.0
879,188.0
880,188.0
881,201.0
882,185.0
883,190.0
884,185.0
885,198.0
886,213.0
887,190.0
888,193.0
889,198.0
890,190.0
891,190.0
892,188.0
893,196.0
894,201.0
895,196.0
896,203.0
897,196.0
898,190.0
899,190.0
900,185.0
901,206.0
902,190.0
903,201.0
904,211.0
905,203.0
906,201.0
907,203.0
908,183.0
909,188.0
910,208.0
911,193.0
912,201.0
913,206.0
914,218.0
915,203.0
916,206.0
917,193.0
918,190.0
919,201.0
920,196.0
921,213.0
922,190.0
923,213.0
924,196.0
925,203.0
926,203.0
927,196.0
928,188.0
929,188.0
930,201.0
931,188.0
932,185.0
933,188.0
934,185.0
935,196.0
936,196.0
937,201.0
938,201.0
939,203.0
940,190.0
941,188.0
942,198.0
943,196.0
944,188.0
945,198.0
946,208.0
947,201.0
948,201.0
949,183.0
950,198.0
951,203.0
952,196.0
953,211.0
954,206.0
955,193.0
956,203.0
957,198.0
958,203.0
959,201.0
960,198.0
961,183.0
962,190.0
963,208.0
964,208.0
965,203.0
966,190.0
967,185.0
968,201.0
969,196.0
970,193.0
971,198.0
972,185.0
973,198.0
974,193.0
975,198.0
976,203.0
977,206.0
978,206.0
979,196.0
980,206.0
981,201.0
982,201.0
983,193.0
984,198.0
985,190.0
986,190.0
987,198.0
988,190.0
989,198.0
990,201.0
991,183.0
992,203.0
993,201.0
994,190.0
995,201.0
996,203.0
997,193.0
998,190.0
999,208.0
1000,190.0
1001,203.0
1002,213.0
1003,196.0
1004,188.0
1005,201.0
1006,188.0
1007,206.0
1008,188.0
1009,190.0
1010,196.0
1011,198.0
1012,196.0
1013,188.0
1014,185.0
1015,203.0
1016,185.0
1017,201.0
1018,213.0
1019,208.0
1020,203.0
1021,196.0
1022,193.0
1023,196.0
1024,193.0
1025,218.0
1026,206.0
1027,211.0
1028,201.0
1029,196.0
1030,183.0
1031,198.0
1032,190.0
1033,198.0
1034,203.0
1035,208.0
1036,206.0
1037,190.0
1038,183.0
1039,201.0
1040,203.0
1041,208.0
1042,193.0
1043,198.0
1044,213.0
1045,193.0
1046,183.0
1047,198.0
1048,183.0
1049,190.0
1050,206.0
1051,201.0
1052,196.0
1053,201.0
1054,196.0
1055,188.0
1056,193.0
1057,206.0
1058,190.0
1059,188.0
1060,203.0
1061,183.0
1062,211.0
1063,188.0
1064,193.0
1065,201.0
1066,201.0
1067,198.0
1068,201.0
1069,193.0
1070,193.0
1071,206.0
1072,196.0
1073,201.0
1074,201.0
1075,206.0
1076,196.0
1077,206.0
1078,211.0
1079,203.0
1080,211.0
1081,193.0
1082,208.0
1083,196.0
1084,206.0
1085,206.0
1086,190.0
1087,196.0
1088,198.0
1089,201.0
1090,193.0
1091,193.0
1092,183.0
1093,190.0
1094,196.0
1095,213.0
1096,190.0
1097,190.0
1098,208.0
1099,198.0
1100,190.0
1101,203.0
1102,188.0
1103,190.0
1104,203.0
1105,211.0
1106,208.0
1107,203.0
1108,188.0
1109,206.0
1110,201.0
1111,190.0
1112,203.0
1113,198.0
1114,198.0
1115,206.0
1116,190.0
1117,203.0
1118,188.0
1119,188.0
1120,203.0
1121,201.0
1122,185.0
1123,211.0
1124,203.0
1125,193.0
1126,190.0
1127,203.0
1128,206.0
1129,201.0
1130,188.0
1131,190.0
1132,188.0
